Mensaje,Clasificación,,,,,,,,,,,,,,,,,
En cuestión de calidad de persona, principios, valores, capacidad y preparación el señor Gustavo no tiene ninguna competencia, no hay con qu,,,,,,,,,,,,,,
y estoy con Gustavo Almada Bórquez no soy lider soy uno mas de cajeme que quiere algo distinto, un cajeme DIFERENTE donde la SOCIEDAD CONSTR,,,,,,,,,,,,,,,,,
las correas y todas las cuñas se las lleva de calle un hombre del pueblo y para el pueblo, uno que no es politico si no un simple hombre hum,,,,,,,,,,,,,,,,,
A ver de donde salen mas correas,,,,,,,,,,,,,,,,,,
y esa es la razon de el porque estamos con ME GUSTA CAJEME AC, y con Gustavo Almada ,porque es un ciudadano mas,y se pone ala altura de el c,,,,,,,,,,,,,,,
"Aguas hay biene el tino. Y hasta hoy no hay cuña.
Pero cuendo salga la cuña se va a poner bueno.,",,,,,,,,,,,,,,,,,,
Si Amiga es su AC....lo bueno que tiene la escuela de Javier Gandara Magaña ...así qe su asociación tiene labor humanitaria.... Y están vigi,,,,,,,,,,,,,,,,,,
"∆ ∆
   ¥   Bien.,",,,,,,,,,,,,,,,,,,
Ojala fueran todos los dias no nada mas por las elecciones,,,,,,,,,,,,,,,,,,
muy buen ambiente  y muy buenos premios felicidades,,,,,,,,,,,,,,,,,,
AQUÍ ES DONDE SE NOTA EL TRABAJO DE GENTE HUMILDE Y BIEN CENTRADO EN QUE EL PUEBLO SALGA ADELANTE...BIEN Gustavo Almada Bórquez A USTED YA N,,,,,,,,,,,,,,,,,,
Estos chapulines son una decepción  https://www.facebook.com/video.php?v=781287065279387&set=vb.779134868827940&type=2&theater,,,,,,,,,,,,,,,,,,
Todavía es tiempo vente,,,,,,,,,,,,,,,,,,
Grasias,,,,,,,,,,,,,,,,,,
Ala otr a xq estoy lejos aquí en obre,,,,,,,,,,,,,,,,,,
No m invitaron?,,,,,,,,,,,,,,,,,,
Chorrooo,,,,,,,,,,,,,,,,,,
hola Gustavo .yo tambien kisiera algo asiiiii ak en hornos,,,,,,,,,,,,,,,,,,
Hay Mucho Que hacer x CAJEME..    Animo.. Todos Unidos si se puede..,,,,,,,,,,,,,,,,,,
👍👏👏👏👏☝️,,,,,,,,,,,,,,,,,,
Francisco De La Peña,,,,,,,,,,,,,,,,,,
Spots cortos, pero con mucho contenido...ojala Sr.Gustavo apoye a mucha gente y que se note, la mejor publicidad... es de palabra a palabra ,,,,,,,,,,,,,,,,
Asi es señor,estamos con usted mis respto para usted,saludos familia ruiz valenzuela,(don yoyó),,,,,,,,,,,,,,,
Me Gusta...,,,,,,,,,,,,,,,,,,
Mucha suerte sr. Gustavo. Un señor de éxito y mucha actitud..muy trabajador..,,,,,,,,,,,,,,,,,,
He leído algunos comentarios de varias personas Que no entienden el sentido de tus Spot y estan tan claros pero en fin quiero felicitarte y ,,,,,,,,,,,,,,,,,,
Políticos, como si hubiera alguno honesto.,,,,,,,,,,,,,,,,,
Otro q le agarra la mano al pueblo para después darle la espalda.,,,,,,,,,,,,,,,,,,
Espero gane señor gustavo!!! Mucho exito,,,,,,,,,,,,,,,,,,
No se quien sea el Sr. pero el video no esta bien hecho, veo algunos errores, como ... Quien va a caminar en la playa en pantalon de mezclil,,,,,,,,,,,,,,,,
Bamos con todo Sr Gustavo almada,,,,,,,,,,,,,,,,,,
un poko ridiculo el video pero conmovedor. cosita,,,,,,,,,,,,,,,,,,
pues ya vi los 3.. y la misma cosa... mejor hay que publicar trabajo...seamos coherentes y realistas. porque soñadores habemos muchos y a ot,,,,,,,,,,,,,,,,,,
Y CUAL ES LA TRAYECTORIA DE ESTE SEÑOR  YA QUE NI SIQUIERA SE HA ESCUCHADO EN CAJEME,,,,,,,,,,,,,,,,,,
Mucha suerte espero gane señor gustavo !!!,,,,,,,,,,,,,,,,,,
Se acabó o!,,,,,,,,,,,,,,,,,,
es por eso hermano lobo que gustavo propone una sociedad que construya en equipo,,,,,,,,,,,,,,,,,,
No hay visión por parte de los representantes de los partidos o de quienes quieren llegar a ser presidentes o gobernadores o tener algún car,,,,,,,,,,,,,,,,,,
Sigue adelante gustavo el que lucha alcanza la cúspide no Desistas amigo saldrás victorioso,,,,,,,,,,,,,,,,,,
Es verdad que ya no vas a la presidencia municipal de cajeme por el pan?,,,,,,,,,,,,,,,,,,
Adelante Señor Gustavo .. Estamos Con usted.. Juntos por el Cajeme que tanto anhelamos.. Reconstruido y Renovado...,,,,,,,,,,,,,,,,,,
Jaja q ped... Pense que hiba a pasar algo bien cabron y cuando recibe el cuadrito ese se acaba y de donde chin... salio el cuadrito no mms, ,,,,,,,,,,,,,,,,,
No digan tantas estupideces y que además jamás cumplen!! Estamos hartos de lis políticos y sus derrochadoras campañas, es para lo único que ,,,,,,,,,,,,,,,,,
Felicidades siga adelante! cuente con esta familia, estamos con usted....,,,,,,,,,,,,,,,,,
Es un buen esfuerzo mediático... pero tristemente la política es lo mismo: prometer el cielo y las estrellas, decir lo politica y socialment,,,,,,,,,,,,,,,,,
Vamos  hecharle ganas. Adelante gustavo,,,,,,,,,,,,,,,,,,
Felicidades, buen dia amigo,,,,,,,,,,,,,,,,,
Adelante sr almadda,,,,,,,,,,,,,,,,,,
adelante Gustavo Almada Bórquez nadie lo para..y es usted la mejor opción para cajeme,,,,,,,,,,,,,,,,,,
Muy bueno,,,,,,,,,,,,,,,,,,
Q bien y q guapo,,,,,,,,,,,,,,,,,,
Asi nesesitamos un hombre como gustavo almada q seps administrar la ciudad y dirigirla para biem como el lo  save haser,,,,,,,,,,,,,,,,,,
excelente,,,,,,,,,,,,,,,,,,
Muy bien,,,,,,,,,,,,,,,,,,
Eso es todo .. Siempre Pensando en lo mejor para poder tener un Cajeme con buenos Cimientos... ... Esxelente trabajo...,,,,,,,,,,,,,,,,,,
Siii excelente...y siii muy ricos tacos,,,,,,,,,,,,,,,,,,
provecho sres y si muuuuuy ricos,,,,,,,,,,,,,,,,,,
inviten.. provecho,,,,,,,,,,,,,,,,,,
No cabe duda, por donde pasa Gustavo Almada va dejando una estela de amigos,,,,,,,,,,,,,,,,,
Excelente y saludos,,,,,,,,,,,,,,,,,,
Jajajaa si como ves cuando faltaa?? Jajajjaa,,,,,,,,,,,,,,,,,,
Bien ,bien saludos,,,,,,,,,,,,,,,,,
ni ellos estan equivocados saben que cajeme esta estancado en comercio y en empleo y ven a Gustavo Almada Bórquez como la mejor opción para ,,,,,,,,,,,,,,,,,,
El chente robando camara Rocio Saavedra,,,,,,,,,,,,,,,,,,
PARA LA GENTE...,,,,,,,,,,,,,,,,,,
Vamos con todo:),,,,,,,,,,,,,,,,,,
VAMOS COMPA PASO A PASITO, LLEGAREMOS BIEN UNIDOS, ESTE TRABAJO QUE HACES CON LOS CIUDADANOS DEL MUNICIPIO DE CAJEME, NADIEN LO ESTA HACIEND,,,,,,,,,,,,,,,
es Gustavo Almada Bórquez la perdona adecuada para una ciudad desadecuada,,,,,,,,,,,,,,,,,,
Ánimo Gustavo a darle que tienes con que y con quien. Step bien Step.,,,,,,,,,,,,,,,,,,
Si vienes de la sociedad civil, por que nunca has construido algo ,por que hasta ahora. No se vale llevar agua a un molino muy desgastado,,,,,,,,,,,,,,,,
Vamos con todo por una ciudad diferente,,,,,,,,,,,,,,,,,,
mi  estimado cheque el link esta mal ..pero se que todo lo que comento es la pura verdad adelante Gustavo Almada Bórquez siga adelante,,,,,,,,,,,,,,,,,,
Un Gusto haberlo saludado el día de ayer!,,,,,,,,,,,,,,,,,,
muy buena formula. y que DIOS los bendiga.,,,,,,,,,,,,,,,,,,
Hasta cres k ganarán,,,,,,,,,,,,,,,,,,
DON JVIER GANDARA Y GUSTAVO ALMADA SERAN LOS QUE NOS SACARAN DEL HOLLO ENEL QUE NOS ENCONTRAMOS, LO SIENTO POR LOS NEGATIVOS...MEJOR EQUIPO.,,,,,,,,,,,,,,,,,
Felicidades Gustavo, saludos y éxito!,,,,,,,,,,,,,,,,,
No creo que lo permita el dueño de mexico beltrones creo que sera el tino el bieno en obre.,,,,,,,,,,,,,,,,,,
con este equipo si beremos un cajeme de primera,,,,,,,,,,,,,,,,,,
PROXIMO GOBERNADOR y ojala presidente municipal! Me Gusta Cajeme A.C - Like Guss.,,,,,,,,,,,,,,,,,,
Suerte, señores,,,,,,,,,,,,,,,,,
Me Gusta,,,,,,,,,,,,,,,,,,
Yo creo que so gana gustavo almada y javier gandara con ellos al 100%,,,,,,,,,,,,,,,,,,
Puros trinfudadores almada y Gandara (y),,,,,,,,,,,,,,,,,,
Gustavo Almada Bórquez es la mejor opción no existe nadie mejor para cajeme y para sonora don javier es indudable que es un hombre formal,,,,,,,,,,,,,,,,,,
Me gusta ese equipo para que trabajen juntos por cajeme   Gustavo y Javier  al 100%,,,,,,,,,,,,,,,,,,
Asi es almada y gandara los proximos ganadores en las votaciones,,,,,,,,,,,,,,,,,,
Francisco  Borquez da nausea pensar que cajeme quede en manos de quien mencionas...no crees nada , Gandara Javier es un gra ciudadano capaz ,,,,,,,,,,,,,,,,,
No creo que gandara sea gober padres quemo mucho al pan.,,,,,,,,,,,,,,,,,,
Ya la rego salio padrecista no amigo es lo peor que se exiban con esas ratas.,,,,,,,,,,,,,,,,,,
(Y),,,,,,,,,,,,,,,,,,
Entre amigos!,,,,,,,,,,,,,,,,,,
Un gusto el haberlos conocido ayer en el Jugueton de Tv Azteca ,) Saludos y exito!,,,,,,,,,,,,,,,,,
Arriba YAQUIS,,,,,,,,,,,,,,,,,,
inviten egoistas jajaja,,,,,,,,,,,,,,,,,,
Ay me saludan al de negro mmm,,,,,,,,,,,,,,,,,,
M mis yaquis tidos bien guapotes besos y abrazos,,,,,,,,,,,,,,,,,,
Amigo Alex Aguero Madero ...... A Donde le envió el café.....,,,,,,,,,,,,,,,,,,
Bien Gustavo, uno de los mejores presidentes que ha tenido Canaco dejando huella inborrable en esa digna institución y bien dices que las In,,,,,,,,,,,,,,,,,
Excelente reunión gracias por la invitación ...a Me Gusta Cajeme AC,,,,,,,,,,,,,,,,,,
por fin tendremos una persona noble y co muchasganas de trabajar pero por el bien de caeme.. claro que si... ME GUSTA CAJEME AC,,,,,,,,,,,,,,,,,,
excelente Gustavo Almada Bórquez cajeme ocupa de gente como usted siga adelante,,,,,,,,,,,,,,,,,,
Bien,bien,,,,,,,,,,,,,,,,,
sin dud alguna, esla mejor eleccion y venceremos..todo por el bien de cajeme y sus pueblos de alrededor que tambien pertenecen a cajeme..,,,,,,,,,,,,,,,,,
fue un placer acompañar a mis compañeros de partido y sobretodo contar con la presencia de gustavo almada borquez presidente de la asociacio,,,,,,,,,,,,,,,,,,
Excelente candidato. Y sobre todo  su honestidad  y raices panistas lo respaldan.,,,,,,,,,,,,,,,,,,
inviten jajajaja,,,,,,,,,,,,,,,,,,
Gustavo Almada Bórquez es la mejor opción,,,,,,,,,,,,,,,,,,
Felicidades Gustavo excelente trabajo el que has venido desarrollando a través de la fundación llevando soluciones a la sociedad ante la pro,,,,,,,,,,,,,,,,,,
Buen provecho buen dia,,,,,,,,,,,,,,,,,,
Feliz año Sr. Gustavo Almada B. y a toda su familia. tamb. a todo su equipo de trabajo de Me gusta Cajeme.. Bendiciones para todos!!!,,,,,,,,,,,,,,,,,,
Feliz Año,,,,,,,,,,,,,,,,,,
Igualmente amigo,,,,,,,,,,,,,,,,,,
"Feliz año 
.lo mejor hoy y siempreeee.,",,,,,,,,,,,,,,,,,,
Feliz año 2015 a todos los que formamos parte de este gran proyecto de ME GUSTA CAJEME e iniciar este año con mucha energía positiva con el ,,,,,,,,,,,,,,,,,,
Feliz 2015 , y  lo que sige , amigo exito,,,,,,,,,,,,,,,,
Muy buena persona y muy trabajador, mucho exito Gustavo Almada !,,,,,,,,,,,,,,,,,
Feliz año 2015 a toda la asociacion. Me gusta cajeme. Y a Gustavo Almada y familia. Que Dios los bendiga.,,,,,,,,,,,,,,,,,,
Feliz fin de año y nuestros mejores deseos para el año que esta por empezar, en compañía de Dios nuestro Señor, de la Virgen Santísima, de l,,,,,,,,,,,,,,,
Bien,bien.,,,,,,,,,,,,,,,,,
http://www.fullcolorimagen.com/webcast/tv/obregon.php,,,,,,,,,,,,,,,,,,
Buen trabajo, enhorabuena a todos y que este año sea lleno de bendiciones y exitos...,,,,,,,,,,,,,,,,,
mas y mas gentes no se equivocan Gustavo Almada Bórquez la única y mejor opción,,,,,,,,,,,,,,,,,,
Cuando hay Corrupcion , Nace y es Imperada ,siempre por el Mando y por ende es seguida por el Subalterno,,,,,,,,,,,,,,,,
Saludos a don joaquin almada,,,,,,,,,,,,,,,,,,
que tal con la viky Caro Valdez,,,,,,,,,,,,,,,,,,
Caro Valdez Mario Valdez baile.y baile,,,,,,,,,,,,,,,,,,
una comida excelente y un ambiente enorme fue lo que se vivió el día ayer en la posada bien Gustavo Almada Bórquez va usted muy bien mas de ,,,,,,,,,,,,,,,,,,
Jajaja,,,,,,,,,,,,,,,,,,
Excelente estuvo muy. Bien,,,,,,,,,,,,,,,,,,
Ay anda bailando mi ama jajaja,,,,,,,,,,,,,,,,,,
Jajaja. Afirmativo. Más en estos dias.,,,,,,,,,,,,,,,,,,
Los que estuvimos  ahi observamos mas de 300 gentes  regalos  buenos y buen ambiente,,,,,,,,,,,,,,,,,,
Muy q machín estuvo excelente,,,,,,,,,,,,,,,,,,
Se ve muy poca gente...a la raza ponganle cheve...muncha cheve y un chingo de comida... y se garantiza la asistencia.....y buena comida he?.,,,,,,,,,,,,,,,,,,
Yo sin carro lo tria uno de mis hijos pero ahi estos y aun hay mas,,,,,,,,,,,,,,,,,,
Adelante gustavo estuve muy a gusto además me dio gusto saludarte,,,,,,,,,,,,,,,,,,
Vengan todos, ya se puso bueno el ambiente !!,,,,,,,,,,,,,,,,,
Ahí esta el mapa en una publicación después de esta.,,,,,,,,,,,,,,,,,,
Direccion x favor,,,,,,,,,,,,,,,,,,
Gracias por allá nos veremos y tendremos el gusto de compartir,,,,,,,,,,,,,,,,,,
Siiii ajua  bien gracias,,,,,,,,,,,,,,,,,,
Hay que ir,,,,,,,,,,,,,,,,,,
Feliz  Navidad Don Gustavo Almada y lo mejor para usted y su familia Bendiciones y Saludos,,,,,,,,,,,,,,,,,,
"Feliz navidad sr . Gustavo mis mejores deseos..
..,",,,,,,,,,,,,,,,,,,
Felicidades Gustavo! exito!,,,,,,,,,,,,,,,,,,
Feliz navidad gustavo para ti y tu fam.,,,,,,,,,,,,,,,,,,
Excelente labor de Gustavo Almada al frente de Me Gusta Cajeme AC, Feliz Navidad, un muy Prospero y Bendecido año 2015 para toda su familia.,,,,,,,,,,,,,,,,
Feliz navidad Gustavo! Un abrazo a Betty y toda tu fam.,  mucho exito para este 2015!!,,,,,,,,,,,,,,,,,
Felicidades,,,,,,,,,,,,,,,,,,
Feliz navidad mi Gustavo para ti y tu fam,,,,,,,,,,,,,,,,,,
y así como lo ven ahorita de sencillo y humilde así seguirá siendo Gustavo Almada Bórquez ...bien por usted vamos adelante,,,,,,,,,,,,,,,,,,
Quedo 4 a 1 Angel Alfonso Valencia Valenzuela,,,,,,,,,,,,,,,,,,
El problema que es panista y ya no confiamos y salen mentirosos como el gonernador.,,,,,,,,,,,,,,,,,,
Buen golazo Alex Aguero Madero 3 a 1 lo cual nos dio el triunfo .,,,,,,,,,,,,,,,,,,
el pueblo no esta equivocado es el mejor por su humildad y trato con la gente,,,,,,,,,,,,,,,,,,
y mi gol ni se diga Angel Alfonso Valencia Valenzuela un buen partido 4 a 1 ganamos y de visita,,,,,,,,,,,,,,,,,,
Es correcto pero tenemos que fijarnos quien es el candidato,,,,,,,,,,,,,,,,,,
Todo esta bien lo unico malo el partido esta muy quemado por el gobernador.,,,,,,,,,,,,,,,,,,
un diagnostico 100% positivo de don gustavo almada,un hombre derecho que sabe lo que quiere y nesesita cajeme.ME GUSTA CAJEME tomando en cue,,,,,,,,,,,,,,,,,
es el unico que sabe que necesita cajeme,,,,,,,,,,,,,,,,,,
Muy  bien  Gustavo Almada todo pa  delante  pero  bien  informado  de la situacion  en cajeme.,,,,,,,,,,,,,,,,,,
Muy bien Gustavo Almada!!! Siempre sensible a las necesidades de nuestro municipio,,,,,,,,,,,,,,,,,,
paso a pasito...pian pianito.Gustavo Almada Bórquez sin duda es usted lo que cajeme requiere y no dinosaurios politicos,,,,,,,,,,,,,,,,,,
Y vamos por más ME GUSTA CAJEME,,,,,,,,,,,,,,,,,,
Felicidades sr. Gustavo Almada dios lo bendiga,,,,,,,,,,,,,,,,,,
TE SALUDO Y TE FELICITO GUSTAVO, PASO A PASITO,,,EL SEGUNDO ESTA DADO,,,,..,,,,,,,,,,
la gente no se equivoca Gustavo Almada Bórquez la mejor opción,,,,,,,,,,,,,,,,,,
Un gusto recibirte en nuestra casa Gustavo Almada que tambien es la tuya! Enhorabuena y gracias por apoyar para que esta Posada se llevara a,,,,,,,,,,,,,,,,,,
Vamos con RORARI,,,,,,,,,,,,,,,,,,
#YOCONRORARI,,,,,,,,,,,,,,,,,,
Siiiiii,es lo mejor y sin temor a equivocarme  suerte y adelante,,,,,,,,,,,,,,,,,
LA GENTE NO SE EQUIVOCA...Gustavo Almada Bórquez ES LA MEJOR OPCIÓN PARA CAJEME,,,,,,,,,,,,,,,,,,
cajeme y sus alrededores eslo que nesesita, nesesita esta clas de personas que si vean la humildad dela gente.. ME GUSTA CAJEME siempre al p,,,,,,,,,,,,,,,,,
Muy bien felicidades!!!!!,,,,,,,,,,,,,,,,,,
Puro acarriado,,,,,,,,,,,,,,,,,,
el trato directo...y la humildad de gustavo almada ...es lo que cajeme necesita,,,,,,,,,,,,,,,,,,
Bien Felicidades ahi esta la diferencia,,,,,,,,,,,,,,,,,,
Que bien y que siga teniendo mas segidores.y cuente con uno!!...,,,,,,,,,,,,,,,,,,
Ahi nomas , mira que lo digo yo, Felicidades amigo.,,,,,,,,,,,,,,,,
FELICIDADES DON Gustavo Almada Bórquez,,,,,,,,,,,,,,,,,,
un futuro excelente, un futuro comprencible,,,,,,,,,,,,,,,,,
y lo sigo diciendo...Gustavo Almada Bórquez es la opción que cajeme necesita,,,,,,,,,,,,,,,,,,
llegando a la gente..asi directo como debe de ser mirarlos de frente y escuchar sus problemas ...eso ocupa cajeme ..Gustavo Almada Bórquez,,,,,,,,,,,,,,,,,,
Y aun hay mas ,primero dios que asi sera. Suerte amigo y adelante todo bien.,,,,,,,,,,,,,,,,,
estoy muy agradecida con gustavo almada y ME GUSTA CAJEME por el apoyo que le ha bridado ami pueblo la tinajera, EXCELENTE su trabajo,,,,,,,,,,,,,,,,,
me gusta,,,,,,,,,,,,,,,,,,
Me Gusta,,,,,,,,,,,,,,,,,,
Sumando ,mas y mas es lo mas  seguro ,y aun hay mas felicidades amigo.,,,,,,,,,,,,,,,,
Felicitaciones Gustavo, Cajeme va a estar mejor, saludos desde Santa Ana,,,,,,,,,,,,,,,,
Que bien!,,,,,,,,,,,,,,,,,,
Hay estamos con Usted. Amigo,,,,,,,,,,,,,,,,,,
Mas que excelente arriba PAN,,,,,,,,,,,,,,,,,,
Todo mi apoyó incondicional ... Claro que sí .,,,,,,,,,,,,,,,,,,
Excelente !,,,,,,,,,,,,,,,,,,
excelente equipo,,,,,,,,,,,,,,,,,,
es usted grande gustavo almada.......APRENDANNNN!!!!!!,,,,,,,,,,,,,,,,,,
Aun hay mas ,siempre sumando felicidades,,,,,,,,,,,,,,,,,
Gracias gustavo x ser trasparente y sinsero. X esos momentos que das en cada evento me gusta cajeme pones el corazon que Dios siempre te ben,,,,,,,,,,,,,,,,,,
Felicidades gustavo hay que seguir trabajando,,,,,,,,,,,,,,,,,,
aqui la reunion en casa de mis padres apoyandolo al cien con los vecinos de la colonia mexico apoyemoslo y veremos el nuevo cambio se llama ,,,,,,,,,,,,,,,,,,
Buenas Tardes Sr. Gustavo Almada  Yo soy de Altos de Jecopaco Siempre todos los eventos ayudas  todo lo hacen en la Col. Allende xke dicen q,,,,,,,,,,,,,,,,,,
En la col. Esperanza Tiznado lo estamos esperando cuando nos visita,,,,,,,,,,,,,,,,,,
excelente solo con personas como gustavo almada haremos el cambio que tanto ocupa cajeme.....olvídense de dinosaurios ....lo fresco y nuevo ,,,,,,,,,,,,,,,,,,
Mas y mas  ,felicidades, aun hay mas .,,,,,,,,,,,,,,,,
vamos Gustavo Almada Bórquez vamos adelante es solo con personas humildes y sensibles como usted que saldremos adelante,,,,,,,,,,,,,,,,,,
Va  cresiendo su pre campana exito,,,,,,,,,,,,,,,,,,
dios  te bendiga  gustavo dios te los triunfo que le pidas,,,,,,,,,,,,,,,,,,
Al leer quien es Usted! Me doy cuenta que es una gran persona, un ser humano con principios y valores, un hombre de familia, gente trabajado,,,,,,,,,,,,,,,
Un Empresario con Ganas de que Nuestro CAJEME Sea un Municipio  Productivo.. . Adelante Confiamos en que sus Buenos Propósitos se Logren ...,,,,,,,,,,,,,,,,,,
Un hombre trabajdor con mucha humildad y sencillez,,,,,,,,,,,,,,,,,,
Un buen luchador y con suficiente confiansa eso dice mucho de Usted.,,,,,,,,,,,,,,,,,,
Vamos con todo Me gusta cajeme,,,,,,,,,,,,,,,,,,
excelente motivacion del equipazo ME GUSTA CAJEME.. felicidades,,,,,,,,,,,,,,,,,,
Bien mi Gustavo a echarle muchas ganas,,,,,,,,,,,,,,,,,,
Exelente 😃😃😃😃,,,,,,,,,,,,,,,,,,
Bien Gustavo , no le aflojes,,,,,,,,,,,,,,,,,
echale ganas,,,,,,,,,,,,,,,,,,
Felicidades equipo de me gusta cajeme..,,,,,,,,,,,,,,,,,,
Súper bien felicidades por participar me encanta ME GUSTA CAJEME,A.C,,,,,,,,,,,,,,,,,
Bien,bien,bien.buen dato,,,,,,,,,,,,,,,,
Felicidades al Equipo ....,,,,,,,,,,,,,,,,,,
No se puede decir mejor Gustavo. Ahora los ciudadanos votaremos por las personas no por los partidos. Felicidafes, estás haciendo un excelen,,,,,,,,,,,,,,,,,
Me encanto !!!! Lo mejor para ti.....,,,,,,,,,,,,,,,,,,
Decía mi apa don Enrique almada. Gente buena y honrada,,,,,,,,,,,,,,,,,,
Excelente una persona que puede abrirse a la sociedad sin temor a expresar sus sentimientos y que sabe la importancia de que servir a la hum,,,,,,,,,,,,,,,,,,
Eso es todo mi amigo !!,,,,,,,,,,,,,,,,,,
Saludes mi amigo, espero saludarte estos dias!!,,,,,,,,,,,,,,,,,
Felicidades siga asi.,,,,,,,,,,,,,,,,,,
estoy mas que convencida,de lo que usted es como PERSONA y creo en usted Sr Gustavo Almada,,,,,,,,,,,,,,,,,
Sin duda alguna gran hombre y amigo con valores muy respetables, honrrado y con un gran compromiso por apoyar a Cajeme en tus nuevos proyect,,,,,,,,,,,,,,,,,
Excelente Gustavo, estoy segura haras un muy buen papel, y asi como eres, y haciendo lo que crees, podras dejar huella y trascender.,,,,,,,,,,,,,,
Espero que con tus palabras y acciones movilices a una sociedad apática y desesperanzada,suerte Guatavo,,,,,,,,,,,,,,,,,
Excelente labor de beneficio social,,,,,,,,,,,,,,,,,,
Felicidades aun hay masss,,,,,,,,,,,,,,,,,,
Echale gsnad gustavo ahi estsmos con tigo,,,,,,,,,,,,,,,,,,
Actual gobierno estatal. O sea propuesta del PAN gobierno del estado, Dios nos libre,,,,,,,,,,,,,,,,,
"Sueños guajiros, ya viene la contaminación "" volantes por aquí, volantes por allá, publicidad en postes, bardas pintadas, altavoces, carros ,",,,,,,,,,,,,,,,,,,
Es el gallo de Ricardo bours!!!,,,,,,,,,,,,,,,,,,
Ya saltó la liebre!!!,,,,,,,,,,,,,,,,,,
Cajeme vive un paradigma desolador por voluntad u omision de nosotros, se requiere amor por el terruño, pasion por la excelencia, respeto po,,,,,,,,,,,,,,,
Si el que opina es guillermo patiño que primero era del PRD y despues se brinco a lamerle las barbas al rata del gobernador, por favor emite,,,,,,,,,,,,,,,,,
Acuerdese rumbo seguro ,asi sera  estamos con usted.,,,,,,,,,,,,,,,,,
Guillermo Patiño Fierro coincido rotundamente, la diferencia nunca va a ser DECIR sino HACER y ahí es donde a mi pobre criterio esta la dife,,,,,,,,,,,,,,,,,
LOGRAREMOS QUE CAJEME SEA PARA TODOS...PASO A PASITO AMIGO GUSTAVO ALMADA BORQUEZ..,,,,,,,,,,,,,,,,,,
tan en lo cierto y toy contigo sr. gustabo almada,,,,,,,,,,,,,,,,,,
Creo que Guillermo Patiño Fierro deberia de particpar en este cambio para cajeme ,  siempre peleando causas justas .,,,,,,,,,,,,,,,,,
"Coincido contigo, ""Cajeme tiene un rumbo incierto"" y la incertidumbre conduce a varias partes, la más lamentable, el desastre, Cajeme necesi,",,,,,,,,,,,,,,,,,,
que siga el cambio!..,,,,,,,,,,,,,,,,,,
TAN INCIERTO ES EL RUMBO DE CAJEME, Y CREO CON UN LIDER QUE TOME EN CUENTA LAS OPINIONES DE LOS  DIFERENTES SECTORES Y SOBRE A TODOS LOS CIU,,,,,,,,,,,,,,,,,
✌️👏👏👏👏👏,,,,,,,,,,,,,,,,,,
A que partido perteneces Gustavo ?,,,,,,,,,,,,,,,,,,
Excelente Gustavo! Estan haciendo un buen trabajo. Muchas felicidades!,,,,,,,,,,,,,,,,,,
exelelente trabajo para gustavo almada feleicdadea a los organizadores de este evento,,,,,,,,,,,,,,,,,,
Felicidades,  y aun hay mas,,,,,,,,,,,,,,,,,
Un abrazo Gustavo!,,,,,,,,,,,,,,,,,,
solo asi amigo gustavo trabajando se demuestran las cosas ...adelante que el apoyo lo tiene,,,,,,,,,,,,,,,,,,
Ya mero llego , manana estare por la oficina  saludos y Felicidades,,,,,,,,,,,,,,,,,
bien gustavo echale ganas aqui te apoyamos,,,,,,,,,,,,,,,,,,
bonita motivacion gustavo.. felicidades,,,,,,,,,,,,,,,,,,
Muy bonito evento gustavo vamos con todo,,,,,,,,,,,,,,,,,,
Muy bonito,,,,,,,,,,,,,,,,,,
Que padre, felicidades ya somos nas  y lo que sigue  vamos todos con Gustavo,,,,,,,,,,,,,,,,,
que bonito evento,que manera tan bonita de tener el contacto directo con la comunidad mas por su sencibilidad humana,Dios bendiga su proyect,,,,,,,,,,,,,,,,
PASO A PASITO SE CONTRUYE MI GUSTAVO, VAMOS JUNTOS, ESTO DE PASO A PASO LE LLEGA A TODO LOS CIUDADANOS, EL EQUIPO DEL LECHERO ESTA CONTIGO..,,,,,,,,,,,,,,,
Pyeblo Yaqui,,,,,,,,,,,,,,,,,,
Saludos Gustavo Almada Bórquez.,,,,,,,,,,,,,,,,,,
gracias gustavo por estar en mi pueblo natal.,,,,,,,,,,,,,,,,,,
Suerte,,,,,,,,,,,,,,,,,,
aqui en cajeme hay mucha inseguridad,,,,,,,,,,,,,,,,,,
Sale y Gusta/Vale,,,,,,,,,,,,,,,,,,
Usted puede estamos con usted (y),,,,,,,,,,,,,,,,,,
De que cuente con todos nosotros y a seguir  trabajando.,,,,,,,,,,,,,,,,,,
Bien,bien y lo mejor esta x llegar ,felicidades en hora buena mmmm,,,,,,,,,,,,,,,,
Estaba checando el fb no,,,,,,,,,,,,,,,,,,
Y tu no saliste no,,,,,,,,,,,,,,,,,,
*Me Gusta-vo Cajeme * con Pueblo Yaqui...,,,,,,,,,,,,,,,,,,
Felicidaded, no habra otro mas ala si pero no con las mismas i ideas,,,,,,,,,,,,,,,,,
Bien Gustavo, bien,,,,,,,,,,,,,,,,,
Gracias gustavo almada por visitarnos ala colonia. Machilopez,,,,,,,,,,,,,,,,,,
Suban las demas fotos mi hoja sale con usted cob su dedito arriva,,,,,,,,,,,,,,,,,,
Muy bien muchas felicidades,,,,,,,,,,,,,,,,,,
Que padre estuvo , felicidades muchos compañeros  y algo mas,,,,,,,,,,,,,,,,,
Es lo mas seguro por supuesto.mmmmm,,,,,,,,,,,,,,,,,,
